month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
1,8,25.946153846153848,30.200000000000003,59.92307692307692,920.3461538461538,126.6923076923077,0.7230769230769231,588.3076923076923,100.6923076923077,497.15384615384613
2,5,27.076923076923077,39.61538461538461,56.84615384615385,917.8076923076924,201.84615384615384,0.9692307692307692,249.46153846153845,167.76923076923077,320.0
12,7,25.475,39.333333333333336,63.833333333333336,918.9,134.25,0.8083333333333332,317.9166666666667,180.08333333333334,441.25
12,2,24.008333333333336,41.708333333333336,72.41666666666667,919.5916666666668,173.16666666666666,0.5333333333333333,667.8333333333334,91.66666666666669,529.1666666666666
10,31,24.592307692307692,45.03076923076923,74.23076923076923,919.2384615384616,45.07692307692308,1.723076923076923,0.0,168.84615384615384,168.84615384615384
11,26,24.258333333333336,43.525,75.5,918.1083333333332,130.58333333333334,0.9,105.83333333333331,270.3333333333333,323.5833333333333
2,26,21.146153846153844,46.861538461538466,89.92307692307692,921.6,174.3846153846154,1.1538461538461535,45.76923076923077,192.15384615384616,234.0
1,12,25.658333333333335,39.9,64.91666666666667,918.725,218.41666666666663,0.7999999999999999,641.4166666666666,107.75,539.5
5,10,19.35833333333333,44.50833333333333,93.08333333333331,922.5833333333334,182.75,0.7999999999999999,106.16666666666669,263.5833333333333,322.0833333333333
7,9,24.592307692307692,41.26923076923077,62.15384615384615,920.0538461538462,196.15384615384616,1.8461538461538465,38.69230769230769,224.30769230769232,250.69230769230768
9,21,27.82307692307692,38.62307692307692,47.76923076923077,918.9384615384616,179.92307692307693,0.9461538461538462,383.38461538461536,201.0,480.7692307692308
5,20,25.161538461538463,41.66923076923077,64.92307692307692,919.5769230769232,204.15384615384616,1.0923076923076922,422.6923076923077,155.30769230769232,467.2307692307692
3,17,25.16923076923077,44.20769230769231,74.15384615384616,919.5230769230768,101.15384615384616,1.3076923076923077,224.76923076923077,265.6923076923077,462.38461538461536
2,29,26.023076923076925,40.23076923076923,66.53846153846153,920.5923076923076,209.6153846153846,0.6153846153846154,329.6923076923077,231.3846153846154,487.3076923076923
9,3,28.491666666666664,38.99166666666667,44.416666666666664,919.7083333333334,173.0,2.0166666666666666,204.16666666666663,159.08333333333334,300.6666666666667
12,12,23.816666666666663,45.26666666666667,76.66666666666667,918.8,82.91666666666667,1.7583333333333335,53.75,226.08333333333337,263.8333333333333
4,14,25.975,39.65,67.33333333333333,919.9416666666666,38.75,2.1083333333333334,223.83333333333337,283.9166666666667,456.25
12,8,24.858333333333334,41.575,69.58333333333333,920.4583333333334,123.91666666666669,0.6583333333333333,213.41666666666663,242.0,401.75
4,7,24.666666666666668,48.23333333333333,78.58333333333333,921.0833333333334,150.41666666666666,1.1583333333333334,65.5,302.8333333333333,350.8333333333333
7,26,27.04615384615385,38.607692307692304,51.07692307692308,920.4384615384616,186.23076923076923,1.823076923076923,141.69230769230768,257.84615384615387,356.3076923076923
1,17,24.78333333333333,39.63333333333333,69.75,918.2916666666666,196.5,1.0333333333333334,387.5833333333333,206.66666666666663,450.5833333333333
12,4,24.691666666666663,41.225,73.0,919.2833333333332,219.0,0.425,415.4166666666667,173.0,446.5833333333333
8,2,28.423076923076923,30.54615384615385,40.38461538461539,920.323076923077,204.0,3.96923076923077,530.7692307692307,108.23076923076924,506.0
12,10,24.53333333333333,41.81666666666667,74.25,919.1416666666668,108.41666666666669,1.2333333333333334,463.9166666666667,189.5,466.75
9,26,29.092307692307692,32.45384615384615,35.84615384615385,920.3692307692309,196.15384615384616,2.223076923076923,370.7692307692308,173.0,453.46153846153845
11,5,24.43846153846154,42.13076923076923,71.84615384615384,919.4461538461538,134.69230769230768,1.2307692307692308,523.5384615384615,106.07692307692308,496.6923076923077
3,8,20.96153846153846,45.13076923076923,88.15384615384616,921.1615384615384,210.69230769230768,1.2461538461538462,17.846153846153847,186.30769230769232,194.92307692307693
6,6,25.741666666666664,38.43333333333333,65.5,922.275,214.58333333333337,2.0416666666666665,42.916666666666664,162.83333333333334,181.33333333333337
2,25,24.56153846153846,48.861538461538466,78.76923076923077,919.0769230769232,182.23076923076923,0.7846153846153846,118.3846153846154,250.84615384615384,333.46153846153845
7,12,25.807692307692307,40.41538461538461,57.15384615384615,920.2692307692308,171.0,0.8846153846153846,307.2307692307692,205.92307692307693,420.6923076923077
6,16,21.266666666666666,41.525,82.91666666666667,922.6833333333334,202.83333333333337,1.4833333333333334,317.3333333333333,241.25,428.1666666666667
3,19,24.161538461538463,41.19230769230769,71.61538461538461,918.8538461538462,181.92307692307693,0.676923076923077,324.61538461538464,146.84615384615384,404.61538461538464
6,16,25.907692307692308,39.36923076923077,60.0,920.5076923076924,192.69230769230768,1.7000000000000002,283.2307692307692,214.76923076923077,417.9230769230769
8,16,27.746153846153845,40.80769230769231,49.84615384615385,918.4230769230768,171.92307692307693,1.353846153846154,193.76923076923077,190.84615384615384,315.46153846153845
3,18,22.846153846153847,41.76923076923077,76.3076923076923,919.6692307692308,182.15384615384616,0.8461538461538461,155.69230769230768,210.3846153846154,300.9230769230769
11,5,24.930769230769233,42.25384615384615,69.3076923076923,918.253846153846,98.76923076923076,0.9615384615384616,441.3076923076923,158.76923076923077,482.3076923076923
4,21,25.842857142857145,37.58571428571429,57.57142857142857,920.6642857142856,184.3571428571429,1.1857142857142855,404.1428571428572,173.78571428571428,457.0
4,3,21.983333333333334,45.06666666666666,81.08333333333333,920.0833333333334,201.58333333333337,0.6916666666666668,298.1666666666667,268.3333333333333,433.6666666666667
2,8,26.641666666666666,44.36666666666667,65.16666666666667,917.9916666666668,174.41666666666666,0.6166666666666667,327.9166666666667,223.33333333333337,479.6666666666667
1,2,24.525,41.516666666666666,76.16666666666667,918.9833333333332,179.0,1.0083333333333333,390.0833333333333,219.75,456.3333333333333
