month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
10,3,22.776923076923076,44.0,74.6923076923077,919.0923076923076,171.0,1.1153846153846156,111.15384615384616,246.30769230769232,316.38461538461536
10,7,25.330769230769228,41.57692307692308,63.38461538461539,919.2384615384616,204.0,2.592307692307692,451.61538461538464,155.3846153846154,489.9230769230769
11,20,23.915384615384617,42.94615384615384,72.23076923076923,918.9153846153844,120.6153846153846,0.8615384615384616,502.0769230769231,119.6923076923077,476.61538461538464
5,26,26.45384615384616,43.86923076923077,59.0,920.3692307692309,200.69230769230768,3.5461538461538455,222.23076923076923,249.15384615384616,398.0
10,14,27.061538461538458,36.823076923076925,44.0,918.323076923077,218.6153846153846,0.8999999999999999,254.46153846153845,200.07692307692307,407.7692307692308
2,8,26.64166666666667,44.366666666666674,65.16666666666667,917.9916666666664,174.41666666666666,0.6166666666666667,327.9166666666667,223.33333333333337,479.6666666666667
2,24,25.061538461538458,41.89999999999999,68.76923076923077,918.5076923076924,215.69230769230768,0.7846153846153846,127.23076923076924,225.07692307692307,329.0
1,14,27.723076923076924,36.96923076923077,50.84615384615385,917.523076923077,199.23076923076923,0.8846153846153846,374.0769230769231,164.69230769230768,429.84615384615387
11,4,24.023076923076925,45.0923076923077,74.92307692307692,919.3692307692306,29.23076923076923,1.8384615384615384,262.53846153846155,170.92307692307693,340.38461538461536
8,22,25.93846153846154,39.26923076923077,54.76923076923077,920.353846153846,156.6153846153846,2.1538461538461537,259.2307692307692,225.46153846153845,407.84615384615387
8,11,24.75384615384615,40.815384615384616,60.69230769230769,921.9076923076924,199.53846153846155,1.6999999999999995,303.0,203.84615384615384,436.0
1,9,25.869230769230764,33.169230769230765,56.38461538461539,919.4692307692306,164.07692307692307,0.6230769230769232,481.9230769230769,143.07692307692307,470.15384615384613
11,24,25.4,42.400000000000006,64.6923076923077,918.6076923076924,150.15384615384616,0.5461538461538462,431.6923076923077,170.69230769230768,453.6923076923077
2,4,26.892307692307693,38.830769230769235,56.69230769230769,918.4230769230768,158.3846153846154,0.5384615384615384,347.0,216.6153846153846,422.61538461538464
11,26,24.258333333333336,43.525,75.5,918.1083333333336,130.58333333333334,0.9,105.83333333333331,270.3333333333333,323.5833333333333
11,12,23.784615384615385,43.72307692307693,73.61538461538461,919.7923076923076,148.69230769230768,0.8615384615384618,125.0,243.3846153846154,346.38461538461536
12,8,25.975,40.35833333333334,62.416666666666664,918.6916666666666,118.75,0.95,655.6666666666666,95.33333333333331,529.3333333333334
8,16,26.566666666666663,41.90833333333333,54.25,919.8916666666668,154.58333333333334,1.0166666666666666,341.3333333333333,249.08333333333337,483.8333333333333
9,7,28.35,37.65,46.166666666666664,917.3833333333332,221.5,0.6,391.5833333333333,214.91666666666663,506.6666666666667
