,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2019-12-31,12,2019-12-31,23.76666666666667,46.75,79.08333333333333,918.9916666666667,79.0,1.4083333333333332,331.5833333333333,210.5,455.1666666666667
2020-01-01,1,2020-01-01,24.941666666666674,45.525,73.58333333333333,918.4166666666666,74.66666666666667,1.5166666666666666,410.8333333333333,185.25,484.6666666666667
2020-01-02,1,2020-01-02,24.525000000000002,41.516666666666666,76.16666666666667,918.9833333333335,179.0,1.0083333333333335,390.0833333333333,219.75,456.3333333333333
2020-01-03,1,2020-01-03,25.183333333333334,31.233333333333334,69.66666666666667,921.125,191.33333333333334,0.5666666666666667,546.6666666666666,148.08333333333334,513.0
2020-01-04,1,2020-01-04,24.649999999999995,27.999999999999996,68.41666666666667,921.8249999999999,164.25,0.7916666666666669,617.25,117.91666666666667,534.6666666666666
2020-01-05,1,2020-01-05,25.333333333333332,32.141666666666666,70.16666666666667,921.3333333333331,21.333333333333332,2.6,679.1666666666666,97.25,547.1666666666666
2020-01-06,1,2020-01-06,25.21666666666667,29.79166666666667,68.5,919.9749999999999,19.916666666666668,2.2166666666666663,526.5833333333334,169.33333333333334,512.25
2020-01-07,1,2020-01-07,25.316666666666674,30.750000000000004,65.66666666666667,919.8000000000002,108.83333333333333,1.1583333333333332,625.5,116.58333333333333,540.4166666666666
2020-01-08,1,2020-01-08,25.94615384615385,30.199999999999996,59.92307692307692,920.3461538461537,126.6923076923077,0.7230769230769231,588.3076923076923,100.6923076923077,497.15384615384613
2020-01-09,1,2020-01-09,25.869230769230764,33.169230769230765,56.38461538461539,919.4692307692306,164.07692307692307,0.6230769230769232,481.9230769230769,143.07692307692307,470.15384615384613
2020-01-10,1,2020-01-10,26.83076923076923,29.0,51.61538461538461,918.023076923077,209.69230769230768,0.8615384615384616,673.1538461538462,75.46153846153847,516.0
2020-01-11,1,2020-01-11,26.630769230769236,32.53846153846154,50.46153846153846,918.5,192.53846153846155,1.4846153846153847,313.53846153846155,188.53846153846155,420.7692307692308
2020-01-12,1,2020-01-12,27.092307692307692,34.792307692307695,52.30769230769231,918.6615384615385,188.0,0.9692307692307695,151.23076923076923,283.46153846153845,351.0
2020-01-13,1,2020-01-13,27.84166666666667,32.61666666666667,49.833333333333336,918.3166666666666,203.5,1.1833333333333336,714.6666666666666,86.0,557.4166666666666
2020-01-14,1,2020-01-14,27.723076923076924,36.96923076923077,50.84615384615385,917.523076923077,199.23076923076923,0.8846153846153846,374.0769230769231,164.69230769230768,429.84615384615387
2020-01-15,1,2020-01-15,28.22307692307692,37.01538461538461,50.92307692307692,917.2615384615384,182.23076923076923,1.6153846153846154,318.2307692307692,227.3846153846154,417.9230769230769
2020-01-16,1,2020-01-16,28.16923076923077,35.807692307692314,48.53846153846154,918.8692307692306,196.30769230769232,1.6153846153846152,81.61538461538461,232.84615384615384,290.15384615384613
2020-01-17,1,2020-01-17,28.853846153846153,40.46923076923077,49.61538461538461,918.6384615384618,199.23076923076923,1.9000000000000001,221.3846153846154,197.30769230769232,334.84615384615387
2020-01-18,1,2020-01-18,29.238461538461536,38.900000000000006,45.76923076923077,918.2692307692307,202.3846153846154,2.1153846153846154,359.9230769230769,164.15384615384616,376.0769230769231
2020-01-19,1,2020-01-19,28.400000000000002,41.22307692307693,53.0,917.8461538461538,203.53846153846155,3.0846153846153848,80.46153846153847,171.6153846153846,201.23076923076923
2020-01-20,1,2020-01-20,28.415384615384617,42.96153846153846,51.92307692307692,918.2307692307693,185.69230769230768,1.6538461538461537,111.0,270.0,336.46153846153845
2020-01-21,1,2020-01-21,25.692307692307697,45.25384615384615,65.38461538461539,918.9307692307692,185.30769230769232,0.7615384615384616,55.0,251.0,287.2307692307692
2020-01-22,1,2020-01-22,24.723076923076924,46.599999999999994,73.84615384615384,919.7307692307693,46.23076923076923,2.8153846153846156,49.84615384615385,213.46153846153845,234.76923076923077
2020-01-23,1,2020-01-23,25.800000000000004,43.23846153846153,67.84615384615384,919.1692307692307,23.53846153846154,2.2307692307692304,399.15384615384613,181.3846153846154,457.7692307692308
2020-01-24,1,2020-01-24,25.061538461538458,45.153846153846146,72.53846153846153,919.5538461538462,94.15384615384616,1.7461538461538464,37.38461538461539,280.3076923076923,307.7692307692308
2020-01-25,1,2020-01-25,26.215384615384615,44.830769230769235,68.76923076923077,919.3230769230769,50.76923076923077,1.4076923076923078,171.53846153846155,262.7692307692308,368.6923076923077
2020-01-26,1,2020-01-26,25.492307692307694,42.96923076923077,70.6923076923077,920.1923076923077,103.53846153846153,1.1923076923076925,302.15384615384613,208.53846153846155,424.15384615384613
2020-01-27,1,2020-01-27,24.93076923076923,38.776923076923076,71.46153846153847,920.8846153846154,93.15384615384616,0.8384615384615385,347.7692307692308,160.46153846153845,415.7692307692308
2020-01-28,1,2020-01-28,24.830769230769228,39.45384615384614,71.3076923076923,920.2769230769229,122.15384615384616,1.169230769230769,257.9230769230769,237.76923076923077,427.46153846153845
2020-01-29,1,2020-01-29,25.507692307692306,38.01538461538462,68.23076923076923,919.7769230769229,156.46153846153845,1.4923076923076926,274.84615384615387,250.92307692307693,424.2307692307692
2020-01-30,1,2020-01-30,25.21538461538461,39.62307692307692,70.15384615384616,919.6461538461538,192.3846153846154,0.6538461538461539,492.9230769230769,154.69230769230768,503.0769230769231
